"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2023","147.000","145.500","147.050","16.150","","1.10%"
"08/01/2023","145.400","142.450","145.600","142.200","","2.04%"
"07/01/2023","142.500","140.550","142.600","140.500","","1.42%"
"06/01/2023","140.500","138.600","140.650","138.400","","1.44%"
"05/01/2023","138.500","135.975","138.800","135.850","","1.91%"
"04/01/2023","135.900","132.300","136.100","132.300","","2.64%"
"03/01/2023","132.400","127.200","132.750","126.850","","4.38%"
"02/01/2023","126.850","124.450","127.300","124.300","","1.97%"
"01/01/2023","124.400","123.400","124.550","123.050","","0.89%"
"12/01/2022","123.300","122.450","123.500","122.300","","0.78%"
"11/01/2022","122.350","121.400","122.550","121.150","","0.91%"
"10/01/2022","121.250","120.700","121.450","120.650","","0.50%"
"09/01/2022","120.650","120.000","120.850","119.900","","0.46%"
"08/01/2022","120.100","118.850","120.200","118.600","","1.09%"
"07/01/2022","118.800","117.850","118.950","117.800","","0.85%"
"06/01/2022","117.800","116.700","117.950","116.700","","0.94%"
"05/01/2022","116.700","115.800","116.900","115.550","","0.86%"
"04/01/2022","115.700","114.900","115.850","114.900","","0.70%"
"03/01/2022","114.900","113.850","115.000","113.700","","1.01%"
"02/01/2022","113.750","113.550","113.880","113.500","","0.22%"
"01/01/2022","113.500","113.000","113.650","112.900","","0.40%"
"12/01/2021","113.050","112.500","113.200","112.300","","0.53%"
"11/01/2021","112.450","111.150","112.750","110.900","","1.12%"
"10/01/2021","111.200","110.350","111.400","110.350","","0.72%"
